Source;Target;Weight;Label;Type
7;132;0.6281324625015259;7 to 132;Undirected
7;134;0.6192563772201538;7 to 134;Undirected
7;139;0.5946200489997864;7 to 139;Undirected
7;142;0.6734403371810913;7 to 142;Undirected
7;156;0.7511451244354248;7 to 156;Undirected
7;161;0.5496463775634766;7 to 161;Undirected
8;7;0.9691786170005798;8 to 7;Undirected
8;45;0.5991024374961853;8 to 45;Undirected
8;58;0.5219223499298096;8 to 58;Undirected
8;80;0.7753026485443115;8 to 80;Undirected
8;112;0.5457364320755005;8 to 112;Undirected
8;119;0.6662572622299194;8 to 119;Undirected
8;127;0.5969748497009277;8 to 127;Undirected
8;132;0.6082668304443359;8 to 132;Undirected
8;134;0.5512992143630981;8 to 134;Undirected
8;139;0.5694582462310791;8 to 139;Undirected
8;142;0.6539031863212585;8 to 142;Undirected
8;156;0.743681788444519;8 to 156;Undirected
8;161;0.5387173295021057;8 to 161;Undirected
9;10;0.8314135670661926;9 to 10;Undirected
9;18;0.6476165056228638;9 to 18;Undirected
9;19;0.7085956931114197;9 to 19;Undirected
9;20;0.6584845781326294;9 to 20;Undirected
9;30;0.5316863059997559;9 to 30;Undirected
9;31;0.5730343461036682;9 to 31;Undirected
9;32;0.7629894018173218;9 to 32;Undirected
9;33;0.5553969144821167;9 to 33;Undirected
9;34;0.500069797039032;9 to 34;Undirected
9;45;0.5272430181503296;9 to 45;Undirected
9;49;0.5833043456077576;9 to 49;Undirected
9;53;0.5702733993530273;9 to 53;Undirected
9;80;0.5882783532142639;9 to 80;Undirected
9;97;0.5181608200073242;9 to 97;Undirected
9;100;0.8692885637283325;9 to 100;Undirected
9;111;0.5366188883781433;9 to 111;Undirected
9;113;0.5241062045097351;9 to 113;Undirected
9;118;0.8512252569198608;9 to 118;Undirected
9;119;0.7364311218261719;9 to 119;Undirected
9;120;0.6564712524414062;9 to 120;Undirected
9;123;0.7479305267333984;9 to 123;Undirected
9;131;0.6657899618148804;9 to 131;Undirected
9;134;0.5989956259727478;9 to 134;Undirected
9;135;0.8390347957611084;9 to 135;Undirected
9;141;0.679146409034729;9 to 141;Undirected
9;155;0.8378071784973145;9 to 155;Undirected
9;157;0.5980668663978577;9 to 157;Undirected
9;161;0.522668182849884;9 to 161;Undirected
9;162;0.5191093683242798;9 to 162;Undirected
10;9;0.8314135670661926;10 to 9;Undirected
10;18;0.9059889316558838;10 to 18;Undirected
10;19;0.9558463096618652;10 to 19;Undirected
10;20;0.9243773221969604;10 to 20;Undirected
10;30;0.731032133102417;10 to 30;Undirected
10;32;0.5389479398727417;10 to 32;Undirected
10;43;0.5108951330184937;10 to 43;Undirected
10;49;0.5942257046699524;10 to 49;Undirected
10;61;0.5861269235610962;10 to 61;Undirected
10;86;0.5384370684623718;10 to 86;Undirected
10;92;0.6361589431762695;10 to 92;Undirected
10;100;0.7827430963516235;10 to 100;Undirected
10;111;0.7242672443389893;10 to 111;Undirected
10;118;0.6166335344314575;10 to 118;Undirected
10;119;0.5320731401443481;10 to 119;Undirected
10;121;0.6634138226509094;10 to 121;Undirected
10;123;0.675931453704834;10 to 123;Undirected
10;131;0.8795759677886963;10 to 131;Undirected
10;135;0.9175847768783569;10 to 135;Undirected
10;141;0.6426278352737427;10 to 141;Undirected
10;153;0.504733145236969;10 to 153;Undirected
10;155;0.8048831820487976;10 to 155;Undirected
10;157;0.9125330448150635;10 to 157;Undirected
10;162;0.6288974285125732;10 to 162;Undirected
11;12;0.9871004819869995;11 to 12;Undirected
11;13;0.9946591258049011;11 to 13;Undirected
11;14;0.9885183572769165;11 to 14;Undirected
11;15;0.9538717269897461;11 to 15;Undirected
12;11;0.9871004223823547;12 to 11;Undirected
12;13;0.9885072112083435;12 to 13;Undirected
12;14;0.9954403638839722;12 to 14;Undirected
12;15;0.9716266393661499;12 to 15;Undirected
13;11;0.9946591258049011;13 to 11;Undirected
13;12;0.9885072112083435;13 to 12;Undirected
13;14;0.9929600954055786;13 to 14;Undirected
13;15;0.9554745554924011;13 to 15;Undirected
14;11;0.9885183572769165;14 to 11;Undirected
14;12;0.9954403638839722;14 to 12;Undirected
14;13;0.9929600954055786;14 to 13;Undirected
14;15;0.966479480266571;14 to 15;Undirected
15;11;0.9538717269897461;15 to 11;Undirected
15;12;0.9716265797615051;15 to 12;Undirected
15;13;0.9554745554924011;15 to 13;Undirected
15;14;0.966479480266571;15 to 14;Undirected
16;1;0.5554784536361694;16 to 1;Undirected
16;2;0.606543779373169;16 to 2;Undirected
16;6;0.8277994990348816;16 to 6;Undirected
16;17;0.9974891543388367;16 to 17;Undirected
16;22;0.5024690628051758;16 to 22;Undirected
16;30;0.6062750816345215;16 to 30;Undirected
16;35;0.5992653965950012;16 to 35;Undirected
16;49;0.5003040432929993;16 to 49;Undirected
16;53;0.5086604356765747;16 to 53;Undirected
16;64;0.7788915634155273;16 to 64;Undirected
16;67;0.6177689433097839;16 to 67;Undirected
16;92;0.6957286596298218;16 to 92;Undirected
16;99;0.5749703645706177;16 to 99;Undirected
16;113;0.8362280130386353;16 to 113;Undirected
16;114;0.7600259780883789;16 to 114;Undirected
16;122;0.5404359102249146;16 to 122;Undirected
16;129;0.6404711008071899;16 to 129;Undirected
16;130;0.5242438316345215;16 to 130;Undirected
16;134;0.739956259727478;16 to 134;Undirected
16;141;0.5191186666488647;16 to 141;Undirected
16;152;0.5320059061050415;16 to 152;Undirected
16;155;0.5652775168418884;16 to 155;Undirected
16;187;0.6931222677230835;16 to 187;Undirected
17;1;0.547593355178833;17 to 1;Undirected
17;2;0.5815408825874329;17 to 2;Undirected
17;6;0.8292360305786133;17 to 6;Undirected
17;16;0.9974891543388367;17 to 16;Undirected
17;30;0.5818108916282654;17 to 30;Undirected
17;35;0.5798907279968262;17 to 35;Undirected
17;64;0.7586171627044678;17 to 64;Undirected
17;67;0.5812519192695618;17 to 67;Undirected
17;92;0.6672427654266357;17 to 92;Undirected
17;99;0.5552897453308105;17 to 99;Undirected
17;113;0.8223584294319153;17 to 113;Undirected
17;114;0.7514820098876953;17 to 114;Undirected
17;122;0.5434252023696899;17 to 122;Undirected
17;129;0.645270586013794;17 to 129;Undirected
17;134;0.7299608588218689;17 to 134;Undirected
17;152;0.5189870595932007;17 to 152;Undirected
17;155;0.5317258834838867;17 to 155;Undirected
17;187;0.6774182915687561;17 to 187;Undirected
18;9;0.6476165056228638;18 to 9;Undirected
18;10;0.9059889912605286;18 to 10;Undirected
18;19;0.9565562605857849;18 to 19;Undirected
18;20;0.9780654907226562;18 to 20;Undirected
18;30;0.6050708293914795;18 to 30;Undirected
18;61;0.5638620853424072;18 to 61;Undirected
18;100;0.6390280723571777;18 to 100;Undirected
18;111;0.6894245147705078;18 to 111;Undirected
18;121;0.7059628963470459;18 to 121;Undirected
18;123;0.6218540668487549;18 to 123;Undirected
18;131;0.8426308631896973;18 to 131;Undirected
18;135;0.7443135380744934;18 to 135;Undirected
18;153;0.5281754732131958;18 to 153;Undirected
18;155;0.5932227373123169;18 to 155;Undirected
18;157;0.9329698085784912;18 to 157;Undirected
18;162;0.5512176156044006;18 to 162;Undirected
19;9;0.7085956931114197;19 to 9;Undirected
19;10;0.9558463096618652;19 to 10;Undirected
19;18;0.9565562605857849;19 to 18;Undirected
19;20;0.9802505970001221;19 to 20;Undirected
19;30;0.6329001784324646;19 to 30;Undirected
19;92;0.5251926779747009;19 to 92;Undirected
19;100;0.6839574575424194;19 to 100;Undirected
19;111;0.6774791479110718;19 to 111;Undirected
19;121;0.6672828793525696;19 to 121;Undirected
19;123;0.6180516481399536;19 to 123;Undirected
19;131;0.8632941246032715;19 to 131;Undirected
19;135;0.8433995842933655;19 to 135;Undirected
19;141;0.5445740222930908;19 to 141;Undirected
19;155;0.6862286329269409;19 to 155;Undirected
19;157;0.9304664134979248;19 to 157;Undirected
19;162;0.5650308132171631;19 to 162;Undirected
20;9;0.6584845185279846;20 to 9;Undirected
20;10;0.9243773221969604;20 to 10;Undirected
20;18;0.9780654907226562;20 to 18;Undirected
20;19;0.9802505970001221;20 to 19;Undirected
20;30;0.5962918400764465;20 to 30;Undirected
20;61;0.5171650052070618;20 to 61;Undirected
20;92;0.504625141620636;20 to 92;Undirected
20;100;0.6633626818656921;20 to 100;Undirected
20;111;0.6631041765213013;20 to 111;Undirected
20;121;0.6837334036827087;20 to 121;Undirected
20;123;0.6148398518562317;20 to 123;Undirected
20;131;0.8400142788887024;20 to 131;Undirected
20;135;0.7766324281692505;20 to 135;Undirected
20;155;0.6097698211669922;20 to 155;Undirected
20;157;0.9205799698829651;20 to 157;Undirected
20;162;0.5226960182189941;20 to 162;Undirected
21;22;0.6867010593414307;21 to 22;Undirected
21;23;0.9159046411514282;21 to 23;Undirected
21;24;0.9819413423538208;21 to 24;Undirected
21;25;0.879908561706543;21 to 25;Undirected
21;26;0.9315727949142456;21 to 26;Undirected
21;27;0.9761916399002075;21 to 27;Undirected
21;28;0.9197835326194763;21 to 28;Undirected
21;29;0.9688384532928467;21 to 29;Undirected
22;4;0.620970606803894;22 to 4;Undirected
22;6;0.574079155921936;22 to 6;Undirected
22;16;0.5024690628051758;22 to 16;Undirected
22;21;0.6867010593414307;22 to 21;Undirected
22;23;0.7957888245582581;22 to 23;Undirected
22;24;0.6672664880752563;22 to 24;Undirected
22;25;0.7186170816421509;22 to 25;Undirected
22;26;0.8127010464668274;22 to 26;Undirected
22;27;0.7448530197143555;22 to 27;Undirected
22;28;0.6301963329315186;22 to 28;Undirected
22;29;0.7275264859199524;22 to 29;Undirected
22;30;0.6831320524215698;22 to 30;Undirected
22;63;0.5037009716033936;22 to 63;Undirected
22;92;0.5265579223632812;22 to 92;Undirected
22;112;0.5234808325767517;22 to 112;Undirected
